Year,Name,Person,Address,City,Phone,Fax,Email
2018,Holdenried Reisen,Günther Holdenried,Hans-Pfanner-Str. 11,88178 Heimenkirch,08381-92340,1716140930,info@holdenried-reisen.com
2018,Glanzpunkt Hollfelder Oberstaufen  ,Anna-Lena Hollfelder,Hugo-von-Königsegg-Str. 5,87534 Oberstaufen,08386-7763,08386-7837,info@hollfelder.de
2018,Hörburger Ski und Sport,Herbert Hörburger,Unterdorf 24,88167 Grünenbach,08383-661,,info@skisport-hoerburger.de
2018,Weingut Hornstein,Peter Hornstein,Sonnenbichlstr. 5,88149 Nonnenhorn,08382-887570,,info@hornstein.wine
2018,Hübner Gärtner von Eden,Stephanie Schneider,Oberthalhofen 5 a,88167 Stiefenhofen,8383-921660,,schneider@huebner-traumgaerten.de
2018,Jarde Holzbau GmbH,Matthias Jarde,Hochgland 60 a,88167 Gestratz,08383-922590,,info@jarde-holzhaus.de
2017,Autohaus Jochim,André Kunack,Grüntenweg 1,88175 Scheidegg,08381-2509,08381-82439,andre.kunack.ah-jochim@partner.renault.de
2018,Keller und Weh GbR,Andreas Weh,Wälderstr. 36,88171 Weiler,08387-8184,,keller-weh-gbr@web.de
2018,LVM-Versicherung Hans Kitzelmann,Hans Kitzelmann,Immenstädter Str. 11,87534 OberstaufenHans.kinzelmann@t-online.de,08386-991790,,Hans.Kitzelmann@t-online.de
2018,Körner Ital. Spezialitäten,Beate Körner,Am Hammerbach 8,88175 Scheidegg,08381-4585,,tutti-italia@t-online.de
2018,Förderverein Kunsteisplatz,"""An der Kasse""",Austr. 40,88161 Lindenberg,08381-81431,,info@eisplatz-lindenberg.de
2018,Laserzentrum Lindau,Andreas Willhalm,Schönauer Str. 112,88131 Lindau,08382-26282,08382-409065,laserzentrum@heimatapfel.de
2018,Ristorante Pizzeria Linde,Dominik Szarek,Kellhofplatz 1,88171 Weiler,08387-9237308,,dominikszarek85@gmail.de
2018,Stadt Lindenberg,Gabriele Mastrangelo,Stadtplatz 1,88161 Lindenberg,08381-80311,08381-803611,buergermeister@lindenberg.de
2018,Lindenberger Hof,Christian Grunert,Marktstr. 8,88161 Lindenberg,08381-3040,08381-7498,mail@lindenbergerhof.de
2018,Marien-Apotheke Heimenkirch,Sabine Sigfanz,Kemptenerstr. 2,88178 Heimenkirch,08381-1469,08381-5983,info@marienapotheke-heimenkirch.de
2018,Marien-Apotheke Scheidegg,Dr. Gudrun Roos,Kirchstr. 2,88175 Scheidegg,08381-940101,08381-940102,info@marienapotheke-scheidegg.de
2018,Hutfabrik Mayser,Annegret Syben,Bismarckstr. 2,88161 Lindenberg,08381-507197,08381-507110,annegret.syben@mayser.com
2018,Meckatzer Löwenbrauerei,Susanne Schumacher-Diesch,Meckatz 10,88178 Heimenkirch,08381-50412,08381-50477012,susanne.schuhmacher-diesch@meckatzer.de
2018,Trattoria Pizzeria Mediterraneo ,Ute Bloise,Schloßstr. 2a,88145 Oberstaufen,08386-962502,08386-962508,Polpetta@t-online.de
2018,Musikkapelle Gestratz,Arthur Prinz,Altringenberg 106 1/4,88167 Gestratz,08383-7496,,a_aprinz@web.de
2018,Nail Lounge,Ruslana Kirchner,Hauptstr. 52b,88161 Lindenberg,08381-4879570,,info@nailandbeauty-lounge.de
2018,Schuhhaus Nenning-Rupp,Rose Marie Nenning-Rupp,Alte Salzstr. 8,88175 Scheidegg,08381-3714,08381-929620,schuh-nenning@t-online.de
2018,Buch Netzer,Simone Kitz,Stadtplatz 3,88161 Lindenberg,08381-2202,08381-940405,mail@buch-netzer.de
2018,Sanitätshaus Ober,Ferdi Arslan,Hauptstr.33,88161 Lindenberg,08381-948272,,info@andreas-ober.de
2018,Therapiezentrum Optenberg & Heckmann,Martin Heckmann,Hauptstr. 17,88161 Lindenberg,08381-6141,,martin.heckmann@therapiezentrum-lindenberg.de
2018,Änderungsschneiderei Pascha,Pascha Bozuglu,Hauptstr. 54,88161 Lindenberg,08381-84543,,heiko.luetjens@gmx.net
2018,Bäckerei Pletsch,Yvonne Pletsch,Lauenbühlstr. 1,88161 Lindenberg,08381-2169,,robert_pletsch@web.de
2018,Gasthof Post,Roland Weidle,Brugg 24,88167 Gestratz,08383-9226420,,roland.weidle@gmx.de
2018,Landgasthof Post,Peter Dercks,Lindauer Str. 1,88167 Röthenbach,08384-304,,landgasthof-post@t-online.de
2018,Postbrauerei Weiler,Fredy Huckenbeck,Käsgasse 17,88171 Weiler,08387-921033,,info@postbier.de
2018,Propstei Apotheke,Elisabeth Mock,Hugo-von-Königsegg-Str. 1,87534 Oberstaufen,08386-2730,08386-2236,info@propstei-apotheke.de
2018,Raiffeisenbank Westallgäu,Rita Friedrich,Stromeyerstr. 2,88171 Weiler,08387-920913,08387-920999,rita.friedrich@rbkwa.de
2018,Raphael Apotheke,Dr. Andreas Vorndran,Hauptstr. 41,88161 Lindenberg,08381-92200,,raphael.apotheke@t-online.de
2018,Bäckerei Rieser,Florian Fischer,Alte Salzstr. 35,88171 Simmerberg,08387-99280,08387-99281,Florian.fischer@rieser-simmerberg.de
2018,Gärtnerei-Floristik Rochelt,Armin Rochelt,Scheibenerstr. 8,88171 Weiler,08387-535,08387-8456,info@blumen-rochelt.de
2018,Landgasthof Rössle,Axel Kulmus,Hauptstr. 14,88167 Stiefenhofen,08383-92090,08383-920949,info@roessle.net
2018,Sehzentrum Westallgäu,Dieter Heinz,Bahnhofstr. 3,88161 Lindenberg,08381-7164,,sehzentrum-heinz@gmx.de
2018,Seigerschmidt Hausverwaltung,Johannes Seigerschmidt,Allgäustr. 39,88138 Sigmarszell-Niederst.,08388-708,,info@seigerschmidt.de
2018,Sennerei Bremenried e.G.,Frau Sutter,Bregenzerstr.96,88171 Weiler,08387-2658,08387-390716,info@kaese-bestellung.de
2018,Sennerei Gestratz,Siegfried Rist,Sennereiweg 3,88167 Gestratz,08383-559,,gestratz@baldauf-kaese.de
2018,Blumen Sinz,Gerhard Sinz,Am Sportplatz 5,88175 Scheidegg,08381-6462,08381-6507,blumen.sinz@web.de
2018,Landgasthof Hotel Sontheim,Markus Sontheim,Reute 7,88167 Maierhöfen,08383-202,,info@landgasthof-hotel-sontheim.de
2018,Bäckerei Specht,Ulrich und Petra Specht,Riedhirsch 87,88178 Heimenkirch,08381-1350,08381-7263,thomas.klapperich@gmail.com
2018,Betten Specht GmbH,Christoph Herrmann,Hauptstr. 26,88161 Lindenberg,08381-940133,08381-940135,chr.herrmann@bettenspecht.de
2018,Stadt-Apotheke,Veit Erhardt,Bismarckstr. 9,88161 Lindenberg,08381-940087,,kontakt@stadt-apotheke-lindenberg.de
2018,Uhren Stegherr,Josef Stegherr,Hauptstr. 55,88161 Lindenberg,08381-6308,,info@stegherr-uhrmachermeister.de
2018,Reformhaus Stibi,Manuela Stibi,Hauptstr. 31,88161 Lindenberg,08381-2148,08381-83849,manuela.stibi@gmx.de
2018,LandMetzgerei Stohr,Siegfried Stohr,Bodenseestr. 4,88145 Opfenbach,08385-308,08385-923367,stohr-opfenbach@t-online.de
2018,Anton Straub Kutschfahrten,Straub Anton,Linggenreute 176,88145 Opfenbach,08385-314,,straub.anton@t-online.de
2018,Hotel Tannenhof,Christian Langes,Lindenberger Str. 33,88171 Weiler,08387-1235,08387-1626,hotel@tannenhof.com
2018,Pizzeria Tesoro Kurhaus,Guiseppe Fioredoro,Am Hammerweiher 1,88175 Scheidegg,08381-3055,,kurhausscheidegg@gmail.com
2018,Tyls Brotkorb,Frau Reichelt,Bräuhausstr. 5,88175 Scheidegg,08381-1349,08381-1341,info@tyls-brotkorb.de
2018,Ultramar Süd GmbH,Manfred Przybylski,Waldweg 4,88175 Scheidegg,08387-3929710,08387-3929723,mp@u-ts.de
2018,Villa Lessing,Natascha Lessing,Bahnhofstr. 14,88171 Weiler,08387-463,,info@pension-villa-lessing.de
2018,Vita Juwel,Ewald Eisen,Westpark 18,88175 Scheidegg,08381-306410,08381-3064110,info@vitajuwel.com
2018,Metzgerei Vogler,Thomas Vogler,Hauptstr. 3a,88161 Lindenberg,08381-1317,,metzgereivogler@aol.com
2018,Volksbank Lindenberg,Martina König,Kreuzhofstr. 2,88161 Lindenberg,08381-806184,08381-806106,martina.koenig@volksbank-lindenberg.de
2018,Hotel Waldsee,Iris Hartmann,Austr. 41,88161 Lindenberg,08381-92610,,info@hotel-waldsee.de
2018,Metzgerei Weber,Thomas Halder,Kemptener Str. 95,88178 Heimenkirch,08381-2046,08381-927221,thomas.klapperich@gmail.com
2018,Markt Weiler Simmerberg,Lara Weber,Kirchplatz 1,88171 Weiler,08387-39135,08387-3917511,weber@weiler-simmerberg.de
2018,Bäckerei Wucherer,Markus Keller,Hauptstr. 3,88171 Weiler,08387-1095,08387-390171,info@schweda-kunststoff.de
2018,Cafe Zendler,Tanja Sigg,Blumenstr. 4,88161 Lindenberg,08381-8898560,,cafezendler@gmail.com
2018,Physiotherapie Praxis Ziegler,Annette Ziegler,Bahnhofstr. 8,88161 Lindenberg,08381-2862,08381-1722,praxis_ziegler@t-online.de
2018,Peter Zodel Maler&Lackierer,Peter Zodel,Mittelhofen 24,88167 Stiefenhofen,01520-4125306,,peterzodel@t-online.de
