Tag;Sponsor;Ansprechpartner;Briefanrede;Straße/Hausnummer;PLZ/Ort;Tel.;FAX;email;Preis;Anzahl;Einzelpreis;Gesamtpreis
1;Grundl Elektro;Erwin Grundl;Sehr geehrter Herr Grundl;Dorfstraße 20;88171 Ellhofen;08387-440;08387-1450;info@elektro-grundl.de;Rundflug mit Doppeldecker 1/2 Std.;1; 	200,00 € ; 	200,00 €
7;Geser Erdwärme GmbH & Co. KG;Stefan Geser;Sehr geehrter Herr Geser;Mywiler 160 1/4;88145 Opfenbach;08385-924 9240;08385-924 924 99;vertrieb@geser.eu;je einen Rostdekor-Gutschein über 35,- €;10; 	35,00 € ; 	350,00 €
7;Mayser GmbH & Co. KG;Annegret Syben;Sehr geehrte Frau Syben;Bismarckstraße 2;88161 Lindenberg;08381-507-197;08381-507-110;annegret.syben@mayser.de;je ein Einkaufsgutschein über 50,- €;2; 	50,00 € ; 	100,00 €
7;Mediterraneo Trattoria Pizzeria;Francesco Bloise;Sehr geehrter Herr Bloise;Schloßstraße 2a;88145 Oberstaufen;08386-962 502;08386-962 508;info@mediterraneo-oberstaufen.de;ein Essen für zwei Personen im Wert von 50,- €;2; 	50,00 € ; 	100,00 €
7;Brög Obsthof GbR;H.-J. Brög;Sehr geehrter Herr Brög;Kellereiweg 30;88131 Lindau;08382-4410;;info@broeg-schoenau.de;je einen Gutschein über 30,- €;1; 	30,00 € ; 	30,00 €
8;Sennerei Bremenried e.G.;Frau Sutter;Sehr geehrte Frau Sutter;Bregenzerstraße 96;88171 Weiler;08387-2658;08387-390 716;info@sennerei-bremenried.de;je einen Gutschein über 20,- €;2; 	20,00 € ; 	40,00 €
8;Swingolf Allgäu Bodensee;Viktoria und Konrad Kohler;Sehr geehrter Herr Kohler;Mywiler 161;88145 Opfenbach;08385-421 374;;swingolf@mywiler.de;je einen Gutschein Fußballgolf oder Swingolf über 20,- €;3; 	20,00 € ; 	60,00 €
8;FotoPremio;André Taube;Sehr geehrter Herr Taube;Sedanstr. 10a;88161 Lindenberg;08381-503-3097;;info@foto-premio.de;Fotowand im Wert von 200,- €;1; 	200,00 € ; 	200,00 €
8;FotoPremio;André Taube;Sehr geehrter Herr Taube;Sedanstr. 10a;88161 Lindenberg;08381-503-3097;;info@foto-premio.de;je einFotobuchgutschein 30cm im Wert von  100,- €;3; 	100,00 € ; 	300,00 €
8;FotoPremio;André Taube;Sehr geehrter Herr Taube;Sedanstr. 10a;88161 Lindenberg;08381-503-3097;;info@foto-premio.de;Fotoleinwand-Gutschein im Wert von 100,- €;1; 	100,00 € ; 	100,00 €
9;Stadt Lindenberg;Frau Frey;Sehr geehrte Frau Wenzler;Stadtplatz 1;88161 Lindenberg;08381-803 21;08381-803 611;tanja.wenzler@lindenberg.de;je eine 10er Karte Hallenbad Lindenberg;10; 	22,00 € ; 	220,00 €
9;Deutsches Hutmuseum;Robert Wigend;Sehr geehrter Herr Weigend;Museumsplatz 1;88161 Lindenberg;08381-92843-20;08381-803 611;hutmuseum@lindenberg.de;je eine Jahreskarte Deutsches Hutmuseum Ldbg.;5; 	18,00 € ; 	90,00 €
9;Islandpferde-Töpferei;Ankelika Ochsenreiter;Sehr geehrte Frau Ochsenreiter;Mothen 48;88178 Heimenkirch;08381-4590;;islandpferde-toepferei@web.de;je einen Gutschein für Tonfiguren im Wert von 50,- €;2; 	50,00 € ; 	100,00 €
9;Taferne Simmerberg;Josef Holzer;Sehr geehrter Herr Holzer;Ellhofer Straße 2;88171 Simmerberg;08387-3806;08387-1776;info@braeustatt-simmerberg.de;je einen Essensgutschein über 50,- €;2; 	50,00 € ; 	100,00 €
10;Pascha änderungsschneiderei;Pascha Bozuglu;Sehr geehrter Herr Bozuglu;Hauptstraße 54;88161 Lindenberg;08381-84543;;anderungsschneiderei-pascha@web.de;je einen Gutschein über 20,- €;5; 	20,00 € ; 	100,00 €
10;Nenning-Rupp Schuhhaus;Rose Marie Nenning-Rupp;Sehr geehrte Frau Nenning-Rupp;Alte Salzstraße 8;88175 Scheidegg;08381-3714;08381-929 620;schuh-nenning@t-online.de;je einen Gutschein über 50,- €;2; 	50,00 € ; 	100,00 €
10;Netzer Buch;Simone Kitz;Sehr geehrte Frau Kitz;Stadtplatz 3;88161 Lindenberg;08381-2202;08381-940405;mail@buch-netzer.de;je einen Gutschein über 25,- €;3; 	25,00 € ; 	75,00 €
10;Musikkapelle Gestratz;Arthur Prinz;Sehr geehrter Herr Prinz;Altringenberg 106 1/4;88167 Gestratz;08383-7496;;a_aprinz@web.de;Standkonzert mit der Musikkapelle Gestratz;1; 	250,00 € ; 	250,00 €
11;Giray GmbH & Co. KG;Herr Dremel;Sehr geehrter Herr Dremel;Hauptstraße 25;88161 Lindenberg;08381-6084;08381-87 808 30;m.giray@metzgerei-giray.de;je ein Wurstpaket im Wert von 60,- €;3; 	60,00 € ; 	180,00 €
11;Gran Sasso Ristorante Pizzeria;Giuseppe Manno;Sehr geehrter Herr Manno;Prinzregent-Luitpolt-Str. 2;88175 Scheidegg;0174 9997790;;mannoguiseppe@outlook.de;je eine Gutschein im Wert von 32,- €;3; 	32,00 € ; 	96,00 €
11;Wucherer Bäckerei;Diana Wucherer;Sehr geehrte Frau Wucherer;Hauptstraße 3;88171 Weiler;08387-1095;08387-390 171;diana-wucherer@web.de;je einen Gutschein über 20,- €;4; 	20,00 € ; 	80,00 €
11;Seitz Autohaus GmbH Lindau;Klaus Köhler;Sehr geehrter Herr Köbler;Riggerweilerweg 5;88131 Lindau;08382-7055 21;;klaus.koehler@seitz-lindau.de;Audi-Cabrio für ein Wochenende;1; 	200,00 € ; 	200,00 €
12;Nail Lounge;Ruslana Kirchner;Sehr geehrte Frau Kirchner;Hauptstraße 52b;88161 Lindenberg;08381-487 9570;;info@naillounge-ruslana.de;je einen Gutschein über 25,- €;5; 	25,00 € ; 	125,00 €
12;Specht Betten GmbH;Christoph Herrmann;Sehr geehrter Herr Herrmann;Hauptstraße 26;88161 Lindenberg;08381-940133;08381-940135;chr.herrmann@bettenspecht.de;eine Kuscheldecke im Wert von 75,- €;1; 	75,00 € ; 	75,00 €
12;Hornstein Weingut;Peter Hornstein;Sehr geehrter Herr Hornstein;Sonnenbichlstraße 5;88149 Nonnenhorn;08382-887 570;;info@peter-hornstein.de;Weinprobe für 10 Personen incl. Brotzeit ;1; 	300,00 € ; 	300,00 €
12;Sennerei Gestratz;Rist Siegfried;Sehr geehrter Herr Rist;Sennereiweg 3;88167 Gestratz;08383-559;;info@baldauf-kaese.de;Gutschein über 50,- €;1; 	50,00 € ; 	50,00 €
13;Ziegler Physiopraxis;Annette Ziegler;Sehr geehrte Frau Ziegler;Bahnhofstraße 8;88161 Lindenberg;08381-2862;08381-1722;praxis_ziegler@t-online.de;je einen Pezziball im Wert von 25,-€;2; 	25,00 € ; 	50,00 €
13;Ziegler Physiopraxis;Annette Ziegler;Sehr geehrte Frau Ziegler;Bahnhofstraße 8;88161 Lindenberg;08381-2862;08381-1722;praxis_ziegler@t-online.de;je eine  Black Roll im Wert von 30,-€;2; 	30,00 € ; 	60,00 €
13;Ziegler Physiopraxis;Annette Ziegler;Sehr geehrte Frau Ziegler;Bahnhofstraße 8;88161 Lindenberg;08381-2862;08381-1722;praxis_ziegler@t-online.de;Eine Massage und Wärme im Wert von 25,- €;1; 	25,00 € ; 	25,00 €
13;Held Omnibus;Robert Held;Sehr geehrter Herr Held;Hans-Liebherr-Straße 20;88161 Lindenberg;08381-2555;;info@omnibus-held.de;je ein Reisegutschein über 50,- €;5; 	50,00 € ; 	250,00 €
13;Christians Dorf Kiosk;Christian Reichart;Sehr geehrter Herr Reichart;Rathausplatz 5;88175 Scheidegg;08381-3496;;kiosk@scheidegg.de;je eine Robin Ruth Scheidegg Tasche i.W.v. 25,-€;2; 	25,00 € ; 	50,00 €
14;Peter Zodel Maler&Lackierer;Peter Zodel;Sehr geehrter Herr Zodel;Mittelhofen 24;88167 Stiefenhofen;01520-4125306;;PeterZodel@t-online.de;je ein Einkaufsgutschein über 25,- €;3; 	25,00 € ; 	75,00 €
14;Schnell Tanzschule;Daniel Zimmermann;Sehr geehrter Herr Zimmermann;In der Grub 28/I;88131 Lindau;0838-4994;08382-25378;tanzen@tanzschule-schnell.de;Tanzkurs Salsa für 2 Pers.;1; 	204,00 € ; 	204,00 €
14;Schnell Tanzschule;Daniel Zimmermann;Sehr geehrter Herr Zimmermann;In der Grub 28/I;88131 Lindau;0838-4994;08382-25378;tanzen@tanzschule-schnell.de;Grund- und Aufbaukurs für 2 Pers.;1; 	136,00 € ; 	136,00 €
14;Metzgerei Vogler GmbH;Thomas Vogler;Sehr geehrter Herr Vogler;Hauptstr. 3a;88161 Lindenberg;08381-1317;;MetzgereiVogler@aol.com;Warengutschein im Wert von 20,- €;5; 	20,00 € ; 	100,00 €
15;Blumenglück;Bärbel und Arhtur Lanz;Sehr geehrte Familie Lanz;Alpenweg 2;88145 Opfenbach;08385-332;;blumenglueck-opfenbach@web.de;je ein Gutschein 25,00 €;4; 	25,00 € ; 	100,00 €
15;Meckatzer Löwenbrauerei;Susanne Schumacher;Sehr geehrte Frau Schumacher;Meckatz 10;88178 Heimenkirch;08381-504 12;08381-504 77-012;susanne.schuhmacher-diesch@meckatzer.de;je einen Gutschein für den Meckatzer Fanshop über 25,- €;10; 	25,00 € ; 	250,00 €
15;Lindenberger Hof;Christian Grunert;Sehr geehrter Herr Grunert;Marktstraße 8;88161 Lindenberg;08381-3040;08381-7498;info@lindenbergerhof.de;je einen Essensgutschein über 25,- €;2; 	25,00 € ; 	50,00 €
15;Kremler Landtechnik GmbH & Co.KG;Armin  Kremler;Sehr geehrter Herr Kremler;Unterreitnau 9e;88131 Lindau;08382-275 820;;landtechnik@kremler.de;einen Gutschein über 100,- €;1; 	100,00 € ; 	100,00 €
16;Greiner Radsport;Manfred Greiner;Sehr geehrter Herr Greiner;Blumenstraße 18;88161 Lindenberg;08381-5344;08381-5731;greiner.bike@t-online.de;je einen Gutschein für ein E-Bike für 2 Tage;2; 	50,00 € ; 	100,00 €
16;Marien-Apotheke Scheidegg;Frau Doktor Roos;Sehr geehrte Frau Dr. Roos;Kirchplatz 2;88175 Scheidegg;08381-940 101;08381-940 102;info@marienapotheke-scheidegg.de;je ein Kosmetik Set im Wert von 25,- €;5; 	25,00 € ; 	125,00 €
16;Linde Ristorante Pizzeria;Herr Dominik;Sehr geehrter Herr Dominik;Kellhofplatz 1;88171 Weiler;08387-9237308;;dominikszarek85@gmail.com;je einen Gutschein über 25,- €;2; 	25,00 € ; 	50,00 €
16;Dirndkönigign;Ute Eichstädt;Sehr geehrte Frau Eichstädt;Lindauerstraße 11;88167 Grünenbach;08383-922110;;info@diedirndlkoenigin.de;Fotoshooting mit 'Sissi - Kostümen';1; 	200,00 € ; 	200,00 €
17;Sehzentrum Westallgäu;Dieter Heinz;Sehr geehrter Herr Heinz;Bahnhofstraße 3;88161 Lindenberg;08381-7164;;sehzentrum-heinz@gmx.de;Warengutschein über 50,- €;1; 	50,00 € ; 	50,00 €
17;Hochgrat Apotheke;Klaus Trenkle;Sehr geehrter Herr Trenkle;Hugo von Königseggstraße 4;87534 Oberstaufen;08386-4583;08386-4684;info@hochgratapotheke.de;je einen Gutschein über 20,- €;10; 	20,00 € ; 	200,00 €
17;Hörburger Ski und Sport;Herbert Hörburger;Sehr geehrter Herr Hörburger;Unterdorf 24;88167 Grünenbach;08383-661;08383-921 188;info@skisport-hoerburger.de;Warengutschein über 100,- €;1; 	100,00 € ; 	100,00 €
17;Bergwies Biokäserei;Gundula Sontheim;Sehr geehrte Frau Sontheim;Stockach 3;88167 Maierhöfen;08383-280 9836;;info@bergies-biokaeserei.de;1 Laib Bergkäse;1; 	80,00 € ; 	80,00 €
18;Rochelt Gärtnerei-Floristik;Armin Rochelt;Sehr geehrter Herr Rochelt;Scheibenerstraße 8;88171 Weiler;08387-535;08387-8456;info@blumen-rochelt.de;je einen Einkaufsgutschein über 25,- €;5; 	25,00 € ; 	125,00 €
18;Barber Ali Friseur;Ali Barber;Sehr geehrter Herr Barber;Hauptstraße 52b;88161 Lindenberg;08381-830 9391;;barber_ali@kabelmail.de;einen Herrenhaarschnitt im Wert von 20,- €;1; 	20,00 € ; 	20,00 €
18;Barber Ali Friseur;Ali Barber;Sehr geehrter Herr Barber;Hauptstraße 52b;88161 Lindenberg;08381-830 9391;;barber_ali@kabelmail.de;einen Damenhaarschnitt im Wert von 37,50 €;1; 	37,50 € ; 	37,50 €
18;Feinaigle Autohaus;Stefan Merath;Sehr geehrter Herr Merath;Wigglis 12;88167 Röthenbach;08384-823 9010;08384-823 9020;stefan.merath@autohaus-feinaigle.de;je einen Fahrzeugsicherheitscheck incl. Verbandstasche;3; 	23,00 € ; 	69,00 €
18;Straub Anton;Straub Anton;Sehr geehrter Herr Straub;Linggenreute 176;88145 Opfenbach;08385-1324;;thomas@tkv.de;Kutschfahrt mit historischer Kutsche;1; 	250,00 € ; 	250,00 €
19;Volksbank Lindenberg;Erika Bero;Sehr geehrte Frau Bero;Kreuzhofstraße 2;88161 Lindenberg;08381-806 184;08381-806 106;erika.bero@volksbank-lindenberg.de;je ein Gewinnsparlos im Wert von  60,- €;5; 	60,00 € ; 	300,00 €
19;Getränke Hohenester;Monika Hohenester;Sehr geehrte Frau Huber;Kolpingstraße 2;88178 Heimenkirch;08381-81718;08381-830 858;hubers-getraenke@web.de;je einen Getränkegutschein über 20,- €;3; 	20,00 € ; 	60,00 €
19;Herzberger Therapiezentrum;Sonja Herzberger;Sehr geehrte Frau Herzberger;Bräuhausstraße 28;88175 Scheidegg;08381-1718;08381-833 24;info@therapiezentrum-herzberger.de;je eine Massage im Wert von 20,- €;5; 	20,00 € ; 	100,00 €
19;Kitzelmann Allianz Agentur;Hans Kitzelmann;Sehr geehrter Herr Kitzelmann;Immenstädterstraße 11;87534 Oberstaufen;08386-991790;08386-9917917;kitzelmann.hans@allianz.de;Restaurantgutschein Imberghaus Steibis im Wert von 50,- €;1; 	50,00 € ; 	50,00 €
20;Hochland Deutschland GmbH;Dagmar Graf;Sehr geehrte Frau Graf;Kemptener Strasse 17;88178 Heimenkirch;08381-502-659;;dagmar.graf@hochland.com;je einen Picknick-Korb über 45,- €;3; 	45,00 € ; 	135,00 €
20;Autohaus Rief GmbH;Anita Rief;Sehr geehrte Frau Rief;Fabrikstr. 63;88171 Weiler;08387-3220;08387-1587;info@auto-rief.de;je ein Gutschein für Radwechsel über 30,- Euro;3; 	30,00 € ; 	90,00 €
20;Stadt-Apotheke;Sabine Sigfanz;Sehr geehrte Frau Sigfanz;Bismarckstraße 9;88161 Lindenberg;08381-940087;08381-940088;kontakt@stadt-apotheke-lindenberg.de;je ein Kosmetik-Set im Wert von 25,- €;3; 	25,00 € ; 	75,00 €
20;Hirschen hotel & gasthaus;Markus Stöckeler;Sehr geehrter Herr Stöckeler;Kirchstraße 1;88175 Scheidegg;08381-2119;08381-2116;info@zumhirschenscheidegg.de;Kochkurs für 4 Personen;1; 	400,00 € ; 	400,00 €
21;Bistro Relax Imbiss Grill;Serjuk Günes ;Sehr geehrter Herr Günes;Bismarckstraße 13;88161 Lindenberg;08381-8307599;;selcukguenes@web.de;je einen Gutschein über 20,- €;2; 	20,00 € ; 	40,00 €
21;INTERSPORT Haisermann;Daniel Haisermann;Sehr geehrter Herr Haisermann;Poststr. 1;88161 Lindenberg;08381-2041;;info@haisermann.de;Warengutschein im Wert von 50,- €;2; 	50,00 € ; 	100,00 €
21;Alwag Gmbh;Brigitte Galauch;Sehr geehrte Frau Galauch;Alte Salzstraße 19;88171 Weiler-Simmerberg;08387-1807;08387-3443;galauch@alwag.de;je ein Wellnesspaket im Wert von 60,- €;3; 	60,00 € ; 	180,00 €
21;Aquaria Oberstaufen;Frau Köberle ;Sehr geehrte Frau Köberle;Alpenstraße 5;87534 Oberstaufen;08386-93130;08386-931340;info@aquaria.de;je eine Tageskarte Badewelt incl.Saunalandschaft a'19,50€;5; 	19,50 € ; 	97,50 €
22;Alpenblick Restaurant;Christian Giselbrecht;Sehr geehrter Herr Gieselbrecht;Dorf 12;A-6934 Sulzberg;(0043) 5516-2217;(0043) 5516-22175;gasthof@alpenblick.co.at;Gutschein über 50,- €;1; 	50,00 € ; 	50,00 €
22;Alpenblick Restaurant;Christian Giselbrecht;Sehr geehrter Herr Gieselbrecht;Dorf 12;A-6934 Sulzberg;(0043) 5516-2217;(0043) 5516-22175;gasthof@alpenblick.co.at;je einen Gutschein über 30,- €;5; 	30,00 € ; 	150,00 €
22;Allgäu Betriebe Scheidegg GmbH;Hr. Leistner;Sehr geehrter Herr Leistner;Bahnhofstraße 44;88175 Scheidegg;08381-81717;;k.leistner@a-b-s.de;je einen Gutschein über 20,- €;2; 	20,00 € ; 	40,00 €
22;Propstei Apotheke;Elisabeth Mock;Sehr geehrte Frau Mock;Hugo von Königseggstraße 1;87534 Oberstaufen;08386-2730;08386-2236;info@propstei-apotheke.de;je ein Vichy Kosmetik-Set im Wert von 30,-€;2; 	30,00 € ; 	60,00 €
22;Jochim Autohaus;André Kunack;Sehr geehrter Herr Kunack;Grüntenweg 1;88175 Scheidegg;08381-2509;08381-82439;andre.kunack.ah-jochim@partner.renault.de;Renault Captur für ein Wochenende;1; 	150,00 € ; 	150,00 €
23;Hotel Waldsee;Iris Hartmann;Sehr geehrte Frau Hartmann;Austraße 41;88161 Lindenberg;08381-92610;;info@hotel-waldsee.de;Frühstücksbuffet für zwei Personen im Wert von 26,- €;1; 	26,00 € ; 	26,00 €
23;Hotel Waldsee;Iris Hartmann;Sehr geehrte Frau Hartmann;Austraße 41;88161 Lindenberg;08381-92610;;info@hotel-waldsee.de;Überraschungsmenü im Wert von 40,- €;1; 	40,00 € ; 	40,00 €
23;Hotel Waldsee;Iris Hartmann;Sehr geehrte Frau Hartmann;Austraße 41;88161 Lindenberg;08381-92610;;info@hotel-waldsee.de;Eine Übernachtung im DZ mit Frühstück im Wert von 100,- €;1; 	100,00 € ; 	100,00 €
23;Fink Kunstverlag;Josef Fink;Sehr geehrter Herr Fink;Hauptstraße 102b;88161 Lindenberg;08381-83721;08381-83749;fink@kunstverlag-fink.de;einen Büchergutschein im Wert von 75,- €;1; 	75,00 € ; 	75,00 €
23;Schmid's Lichthäuser Stüble;Magdalena Schmid;Sehr geehrte Frau Schmid;Rickatshofen 18;88131 Lindau;08382-22790;;info@gaestehaus-schmid-lindau.de;je ein LEYK Lichterhaus aus Ton;2; 	35,00 € ; 	70,00 €
24;Holzbau Trunzer;Daniel Trunzer;Sehr geehrter Herr Trunzer;Heimen 85;88145 Opfenbach;08385-9249937;;info@holzbautrunzer.de;ein Gartenhaus mit Satteldach 3x2m ohne Fundament;1; 	1.500,00 € ; 	1.500,00 €
24;Tannenhof Hotel;Hr. Langes;Sehr geehrter Herr Langes;Lindenbergerstraße 33;88171 Weiler;08387-1235;08387-1626;hotel@tannenhof.com;ein Wellnesswochenede für 2 Personen;1; 	700,00 € ; 	700,00 €
24;Team Rotwild Sofia Wiedenroth;Sofia Wiedenroth;Sehr geehrte Frau Wiednroth;Wiesentalstr. 6;88138 Sigmarszell-Niederstaufen;08388-1013;;sofia@wiedenroth.eu;Moutain-Bike Tour mit S.Wiedenroth und Einkehr;1; 	500,00 € ; 	500,00 €
